,Название,Фандомы,Автор,Пейринг и персонажи,Жанр,Все теги,Теги 18+,Возрастное ограничение,Статус,Лайки,Отзывы,В сборник,Размер,Описание,Посвящение,Примечания автора,Публикация на других ресурсах,Горячая работа
10,Мари и Кот,['Леди баг и супер кот'],['Lisa15478'],[],Другие виды отношений,"['Драббл', 'Романтика']",[],G,Завершён,0,0,0,"1 страница,
                                                1 часть","Маринетт слишком увлечена  Адрианом  , но к её сердцу пробрался ещё один парень  . Только вот парень то, один и тот же . 
",,Привет . Это моя первая работа ! Надеюсь вам понравится .,Уточнять у автора/переводчика,False
11,Юля и тумбочка,['Ориджиналы'],['Геката...'],[],Джен,"['Драббл', 'Романтика', 'Юмор']",[],G,Завершён,0,0,0,"1 страница,
                                                1 часть",Юля влюбилась в тумбочку...,,,Уточнять у автора/переводчика,False
12,Воспоминание жизни,['Хантер Эрин «Коты-Воители»'],['Belka Kb'],[],Джен,"['Воспоминания', 'Драббл', 'Сборник драбблов']",[],G,В процессе,1,1,0,"планируется Мини, написано                                                3 страницы,
                                                3 части",Перед смертью каждый видит  всю свою жизнь ...,,,Уточнять у автора/переводчика,False
13,Io vengo dalla luna,['Måneskin'],['loqiexistence'],['Дамиано Давид/Томас Раджи'],Слэш,"['Драббл', 'Драма', 'Курение', 'Нецензурная лексика', 'Психология', 'Романтика', 'Счастливый финал', 'Частичный ООС']","['Курение', 'Нецензурная лексика']",PG-13,Завершён,1,0,0,"7 страниц,
                                                1 часть","Восхищение Томасом, восхождение группы к небесам, в один ряд к сияющим звездах. Что-то такое же возвышенное между персонажами, больше, чем крепкая дружба.
Лунная зарисовка, родившаяся из сна моей Марлены. ",,"Изначальный вариант публикации - https://vk.com/@pblcexist-io-vengo-dalla-luna
Группа автора - https://vk.com/pblcexist

ИЛЛЮСТРАЦИЯ - (в группе в вк)",Разрешено копирование текста с указанием автора/переводчика и ссылки на исходную публикацию,False
14,in the middle of the night: after,"['Евровидение', 'Måneskin', 'Damiano David']",['mnogo_slov'],"['Дамиано Давид/ОЖП', 'Итан Торкио/ОЖП']",Гет,"['Алкоголь', 'Драббл', 'ОЖП', 'Повествование от первого лица', 'Постканон', 'Рейтинг за секс', 'Романтика', 'Элементы других видов отношений']","['Алкоголь', 'Рейтинг за секс']",NC-17,В процессе,0,0,0,"планируется Миди, написано                                                2 страницы,
                                                1 часть","Она сидела на окне в моей спальне абсолютно обнаженная, курила сигарету и явно думала, что я сплю. Но я проснулся ещё час назад, и не мог отвести от неё глаз, пока она выкуривала одну за другой. Почему ты снова ворвалась в мою жизнь? Почему я вообще позволил этому случиться?",,"Это продолжение работы «in the middle of the night».
Прежде чем ознакомиться с данной работой, предлагаю прочитать первую часть:  https://ficbook.net/readfic/10799157",Уточнять у автора/переводчика,False
15,Записка,"['Роулинг Джоан «Гарри Поттер»', 'Гарри Поттер']",['Крылатый олень'],['Сириус Блэк III/Римус Люпин'],Слэш,"['ER', 'Времена Мародеров', 'Драббл', 'Романтика', 'Флафф']",[],PG-13,Завершён,0,0,0,"1 страница,
                                                1 часть","Когда на уроке трансфигурации Макгонагалл рассаживает Блэка и Люпина по разным партам, Сириус пишет парню записку. ",,,Уточнять у автора/переводчика,False
16,Большая шестёрка. Первое путешествие.,"['Рапунцель: Запутанная история', 'Как приручить дракона', 'Хранители снов', 'Храбрая сердцем']",['Артемида Лидийская'],[],Джен,"['AU', 'Драббл', 'Дружба', 'ООС', 'Повествование от первого лица', 'Повседневность', 'Флафф', 'Фэнтези']",[],PG-13,В процессе,4,0,0,"планируется Миди, написано                                                11 страниц,
                                                6 частей","Хорошо иметь верных друзей. Компания из шести человек, а именно: охотница, воительница, любитель драконов, вор, маг и просто волшебная девица отправляются в путешествие. Чем же оно обернётся?",,"Попробую с юмором, но ничего не обещаю. (У меня с ним плохо)",Уточнять у автора/переводчика,False
17,кофе,"['Måneskin', 'Go_A']",['elvenfairy'],['Дамиано Давид/Екатерина Павленко'],Гет,"['Драббл', 'ООС', 'Романтика', 'Элементы флаффа']",[],PG-13,Завершён,0,0,0,"2 страницы,
                                                1 часть","Может быть, сегодня они начнут писать совместную песню, но Катерине кажется, что её отпуск в Риме затянется надолго.",,,Запрещено в любом виде,False
18,Headcanons Genshin Impact,['Genshin Impact'],['Кисань'],"['ОЖП/Альбедо', 'ОЖП/Беннет', 'ОЖП/Венти', 'ОЖП/Дилюк Рагнвиндр', 'ОЖП/Итэр', 'ОЖП/Кэйа Альберих', 'ОЖП/Син Цю', 'ОЖП/Скарамучча', 'ОЖП/Сяо', 'ОЖП/Тарталья', 'ОЖП/Чун Юнь', 'ОЖП/Рэйзор', 'ОЖП/Чжун Ли']",Гет,"['AU', 'Влюбленность', 'Драббл', 'Намеки на отношения', 'ОЖП', 'От друзей к возлюбленным', 'Отношения на расстоянии', 'Полиамория', 'Признания в любви', 'Романтика', 'Трисам', 'Упоминания селфхарма', 'Флафф']",['Упоминания селфхарма'],PG-13,В процессе,455,50,60,"планируется Мини, написано                                                14 страниц,
                                                5 частей",Хэдканоны с нашими любимыми парнями.,,,Уточнять у автора/переводчика,False
19,Быт неестества,['Ориджиналы'],"['Alena Noir', 'Foma Sparrow']",[],Джен,"['Драббл', 'Повседневность', 'Сборник драбблов', 'Фэнтези', 'Эксперимент']",[],G,В процессе,2,0,0,"планируется Мини, написана                                                21 страница,
                                                5 частей","В одном далёком мире, где существуют маги, эльфы, оборотни и множество других рас, непривычных для нас, жили-были самые разные существа. Жили они жизнью обычной, занимались своими делами, старались стать достойными памяти созданиями. Они не участвовали в войнах и не спасали мир, однако упорно шли к своим маленьким целям и не сдавались, наталкиваясь на преграды и встречаясь с всевозможными сложностями.",,,Разрешено копирование текста с указанием автора/переводчика и ссылки на исходную публикацию,False
20,За минуту до конца...,['Bungou Stray Dogs'],['Енот Иннокентий'],['Осаму Дазай/Чуя Накахара'],Слэш,"['Драббл', 'Нецензурная лексика', 'Омегаверс', 'Отклонения от канона', 'Первый раз', 'Смерть основных персонажей', 'Течка / Гон']","['Нецензурная лексика', 'Течка / Гон']",NC-17,Завершён,0,0,0,"5 страниц,
                                                1 часть","Осаму Дазай- альфа, один из главных исполнителей портовой мафии; Чуя Накахара- бета, один из главных исполнителей портовой мафии.Вместе составляют самый сильный дует, но в один день всё покатится к чертям",,"Идея крутилась у меня в голове 5 месяцев, только недавно решила всё-же написать. Жду тапки :3. Это человек из будущего, я дописал фанфик спустя год, да.",Уточнять у автора/переводчика,False
21,Written in the stars,"['Дж. Маас Сара «Двор шипов и роз»', 'Маас Сара  «Королевство шипов и роз»']","['Элизабет Нейкос', 'Dana G']",['Рисанд/Фейра Арчерон'],Гет,"['PWP', 'Драббл', 'Здоровые отношения', 'Истинные', 'Нежный секс', 'Повествование от первого лица', 'Пропущенная сцена', 'Рейтинг за секс', 'Романтика', 'Флафф', 'Фэйри', 'Фэнтези', 'Частичный ООС']","['PWP', 'Нежный секс', 'Рейтинг за секс']",NC-17,Завершён,3,0,0,"6 страниц,
                                                1 часть","Мои руки потянулись к насыщенному синему — мягкий ворс кисти оставил яркие пятна на чёрном камзоле — а потом к зелёному, жёлтому, оранжевому и красному. Я раскрашу его сама — наполню красками ровную линию носа и острые скулы, подчеркну алым любимые губы и нарисую звёзды в его глазах. Добавлю сумасшествия и горящего желания спокойному профилю — покажу его таким, как вижу сама.

Сделаю то же, что когда-то сделал Риз — наполню красками его лицо и жизнь.",,"Written in the stars — предписано звездами (на коленях Риза, да)",Уточнять у автора/переводчика,False
22,Даже его запястье будет моим!,['Yandere Simulator'],['_N_O_'],[],Смешанная,"['AU', 'AU: Школа', 'Hurt/Comfort', 'Ангст', 'Драббл', 'Драма', 'Дружба', 'Любовь/Ненависть', 'ООС', 'Повествование от первого лица', 'Психология', 'Романтика', 'Смерть основных персонажей', 'Сокрытие убийства', 'Убийства', 'Упоминания убийств', 'Учебные заведения', 'Юмор']",[],NC-21,В процессе,0,0,0,"планируется Мини, написана                                                1 страница,
                                                1 часть",Аяно Аиши стала совершенно сумашедшей и готова на всё ради него. Даже если это затронет тему убийств. ,,,Разрешено в любом виде,False
23,Рыжие локоны.,['Classicaloid'],['leca_shina'],['Бетховен/Шуберт'],Слэш,"['Драббл', 'Отклонения от канона', 'Романтика', 'Элементы флаффа']",[],PG-13,Завершён,1,0,0,"2 страницы,
                                                1 часть","Шуберт постоянно околачивался около Бетховена. Он всюду следовал за ним,–разве что в какие-то определенные моменты Франц покидал его поле зрения.",,,Уточнять у автора/переводчика,False
24,Сборник реакций мини-историй по ДБЗ,['The Boyz'],"['L.Din', 'Йосидо']",[],Гет,"['AU', 'Underage', 'UST', 'Алкоголь', 'Высшие учебные заведения', 'Даб-кон', 'Драббл', 'Занавесочная история', 'Любовь/Ненависть', 'Мэри Сью (Марти Стью)', 'Нелинейное повествование', 'Неозвученные чувства', 'ООС', 'Отклонения от канона', 'Первый раз', 'Повседневность', 'Подростки', 'Романтика', 'Сборник драбблов', 'Современность', 'Тайная личность', 'Учебные заведения', 'Флафф']","['Underage', 'Алкоголь', 'Даб-кон']",R,В процессе,28,4,3,"планируется Мини, написана                                                31 страница,
                                                11 частей",Драббл сборник реакции The Boyz. ,,"Возможно он будет пополняться, а возможно и нет)
№31 в топе популярных фанфиков по фандому The Boyz 17.02.2021
№46 в топе популярных фанфиков по фандому The Boyz 03.06.2021",Уточнять у автора/переводчика,False
25,Милые сцены с тобой и Эйданом,['Aidan Gallagher'],['АРБУЗОВЫЙМАНДАРИН'],[],Гет,"['Hurt/Comfort', 'Драббл', 'Дружба', 'ОЖП', 'ООС', 'Повседневность', 'Романтика', 'Флафф']",[],R,В процессе,0,0,0,"планируется Мини, написана                                                1 страница,
                                                1 часть","Что то интересное, что то крутое",,,Уточнять у автора/переводчика,False
26,Было (не)достаточно,['Мид Райчел «Академия вампиров»'],['RunningUpThatHill'],[],Гет,"['Драббл', 'Пропущенная сцена']",[],PG-13,Завершён,0,0,0,"4 страницы,
                                                1 часть","- Я по-прежнему люблю тебя.
- С каких пор?
- С всегда.",,"Не спится мне по ночам, такими темпами появится сборник драбблов-размышлений.",Уточнять у автора/переводчика,False
27,Я увижу тебя ещё раз,['Genshin Impact'],"['desure', 'sokdowkd']","['Скарамучча/Мона Мегистус', 'Люмин/Тарталья']",Гет,"['AU', 'Драббл', 'Любовь/Ненависть', 'ООС', 'Романтика', 'Флафф']",[],PG-13,В процессе,21,6,0,"планируется Мини, написано                                                8 страниц,
                                                4 части","Та встреча словно кошмар изо дня в день повторялась в мыслях Моны, но кто же знал, что Скарамучча так же не мог забыть...",,"А ой, слишком люблю эту пару и считаю, что они заслуживают куда больше внимания, опыт имею не столь большой, грамматические ошибки скорее всего будут встречаться",Разрешено копирование текста с указанием автора/переводчика и ссылки на исходную публикацию,False
28,Танцы,['Ориджиналы'],['eliweek'],['Девушка/Девушка'],Фемслэш,"['AU: Школа', 'Алкоголь', 'Борьба за отношения', 'Выпускные', 'Гики', 'Доверие', 'Драббл', 'Каминг-аут', 'Персонажи-лесбиянки', 'Платонические отношения', 'Повседневность', 'Подростки', 'Разговоры', 'Романтика', 'Россия', 'Самовставка', 'Счастливый финал', 'Флафф']",['Алкоголь'],R,Завершён,0,0,0,"3 страницы,
                                                1 часть",Вечер. Выпускной. Признание. Какова дальнейшая судьба влюблённого сердца? ,,"Эта работа, пожалуй является олицетворением того, что будущее невозможно угадать, а уж тем более, каким станет общение между людьми, когда между ними возникнет пропасть. 
Влюбленность затуманивает разум, ты не можешь объективно оценить человека, но спустя время происходит осознание.",Уточнять у автора/переводчика,False
29,Бессонница,['Undertail'],['Fissi in chat'],"['Инк!Санс/Эррор!Санс', 'Кросс!Санс/Дрим!Санс']",Смешанная,"['AU', 'Hurt/Comfort', 'Ангст', 'Драббл', 'ООС', 'Психология', 'Флафф']",[],PG-13,В процессе,0,0,0,"планируется Мини, написано                                                3 страницы,
                                                1 часть","Эррор-пассив, а Инк-актив ☁️🍫",,"Это мой первый ФФ, не судите строго☁️",Уточнять у автора/переводчика,False
30,Облака,['SK8'],['afcleric'],['Коджиро Нанджо/Каору Сакураяшики'],Слэш,"['Драббл', 'Романтика', 'Флафф']",[],PG-13,Завершён,2,0,0,"2 страницы,
                                                1 часть","Он бы не отказался, чтобы кроме теплых дней в мире действительно не случалось больше ничего, но дождь тоже хорошо. Пусть будет.
",,,Уточнять у автора/переводчика,False
31,А слабо…,['Ориджиналы'],"['Liza.liza.liza', 'ЖенИИчкАаа']",[],Гет,"['Драббл', 'Драма', 'Дружба', 'Повседневность', 'Психология', 'Романтика']",[],PG-13,В процессе,1,0,0,"планируется Мини, написано                                                2 страницы,
                                                1 часть","Арон берёт на слабо своего друга, что тот сможет влюбить в себя Лию, а после кинуть еë. Что собственно и происходит, но она ведь реально влюбилась в него, а он в неё нет.",,"Частично, идея взята из открытого он-лайн источника Tik Tok, у пользователя @vesvich.",Уточнять у автора/переводчика,False
32,(!NotOriginalIdea!)Перерождение А-Чэна,"['Mo Dao Zu Shi', 'Мосян Тунсю «Система ""Спаси-Себя-Сам"" для Главного Злодея»']",['_Ilan_Turtle_'],['Лю Цингэ/Цзян Чэн'],Слэш,"['AU', 'Бессмертие', 'Драббл', 'Драма', 'Нецензурная лексика', 'ООС', 'Отклонения от канона', 'Повествование от первого лица', 'Смерть основных персонажей', 'Флафф', 'Элементы флаффа']",['Нецензурная лексика'],R,В процессе,5,1,3,"планируется Мини, написано                                                10 страниц,
                                                6 частей","По заявке (своей же)
Ссылка на заявку: https://ficbook.net/requests/588384?status=2#tabContent",,"Публичная бета включена и будет до конца фф, ну и после (мало-ли какие я ошибки намудрю).
 Я хз как  долго будут идти части про первые 5 лет жизни Ма Чэна, и дойдёт ли этот фф до того как А-Чэну будет 10 лет)",Уточнять у автора/переводчика,False
33,night spirit,['Bangtan Boys (BTS)'],['Бан чан мой отец'],['Чон Чонгук/Ким Тэхён'],Слэш,"['AU', 'Грубый секс', 'Драббл', 'Нежный секс', 'Незащищенный секс', 'Призраки', 'Случайный секс', 'Стимуляция руками']","['Грубый секс', 'Нежный секс', 'Незащищенный секс', 'Случайный секс', 'Стимуляция руками']",NC-17,Завершён,1,0,0,"3 страницы,
                                                1 часть","Тэхён всего лишь услышал страшные звуки в гостиной, но что-то пошло не так",,,Уточнять у автора/переводчика,False
34,Солнечный день | имейджины с /т.и/ |,['Чудесная божья коровка (Леди Баг и Супер-Кот)'],['Пирожочек С Коньяком'],"['Лука Куффен/ОЖП', 'Адриан Агрест/ОЖП', 'Габриэль Агрест/ОЖП']",Гет,"['Hurt/Comfort', 'Драббл', 'Драма', 'Дружба', 'Интернет', 'Повседневность', 'Романтика', 'Сборник драбблов', 'Ссоры / Конфликты', 'Т/И / Л/И', 'Флафф', 'Юмор']",[],R,Завершён,18,6,4,"13 страниц,
                                                5 частей",Сборник драбблов и зарисовок с персонажами из Ladybug & Cat Noir.,,,Уточнять у автора/переводчика,False
35,Флейта и цинь,"['Mo Dao Zu Shi', 'Неукротимый: Повелитель Чэньцин']",['RavenTores'],['Лань Чжань/Вэй Ин'],Слэш,"['ER', 'Hurt/Comfort', 'Драббл', 'Древний Китай', 'Китай', 'Постканон', 'Романтика', 'Сборник драбблов', 'Сновидения']",[],PG-13,Завершён,423,82,103,"32 страницы,
                                                12 частей","Сборник совсем коротких историй. Временами будет пополняться, несмотря на статус.",,"Возможны добавления персонажей, меток.

Другие работы по Магистру здесь: https://ficbook.net/collections/14102295",Уточнять у автора/переводчика,False
36,ночь,['Ориджиналы'],['d_djj'],[],Джен,"['AU', 'Hurt/Comfort', 'Songfic', 'Алкоголь', 'Ангст', 'Драббл', 'Курение']","['Алкоголь', 'Курение']",PG-13,Завершён,0,0,0,"2 страницы,
                                                1 часть",ее проблемы иногда выходили наружу. ,,"мне было просто лень писать фанфик ацу/аку, т.к. не знаю как его продолжить, поэтому пока выкладываю супер-древний драббл, который писала ну очень давно.",Уточнять у автора/переводчика,False
37,Под пение сверчков,['Genshin Impact'],['Fleris'],"['Беннет/Рэйзор', 'Рэйзор/Беннет']",Слэш,"['AU', 'Драббл', 'Романтика', 'Флафф', 'Частичный ООС']",[],PG-13,Завершён,0,0,0,"3 страницы,
                                                1 часть","Одним вечером, после насыщенного дня, Рэйзор почувствовал что то странное в груди. Он никогда, до этого, такого не ощущал. Пока Беннет мирно спал у волчонка на плече, тот пытался разобраться, что же за чувство заполнило его сердце...",,"Надеюсь понравиться( ◜‿◝ )♡
воооть...мне больше нечего сказать)",Уточнять у автора/переводчика,False
38,Что-то странное,['Måneskin'],['нетси'],['Дамиано Давид/Итан Торкио'],Слэш,"['Hurt/Comfort', 'Ангст', 'Драббл', 'Дружба', 'Неозвученные чувства', 'ООС', 'Повседневность', 'Романтика']",[],PG-13,Завершён,3,0,2,"2 страницы,
                                                1 часть",Надеюсь в будущем будет сборник.,,Не ожидайте многого,Уточнять у автора/переводчика,False
39,"Мечта, которая сбылась",['Haikyuu!!'],['Чашка колена'],['Козуме Кенма/Хината Шоё'],Слэш,"['Драббл', 'Романтика', 'Флафф']",[],PG-13,Завершён,2,4,0,"2 страницы,
                                                1 часть",У Хината и Кенмы появилось собственное гнёздышко ,,"Это моя первая работа, поэтому не судите строго! 
Начиталась КенХин и тоже захотела попробовать:3
Хотела написать что-то тёплое, не знаю, получилось ли...
Перепроверяла текст несколько раз, но публичная бета включена",Разрешено в любом виде,False
40,Их было восемь...,['Роулинг Джоан «Гарри Поттер»'],['_bookworm__'],"['Джеймс Поттер/Лили Поттер', 'Сириус Блэк III/Марлин Маккиннон']",Гет,"['Времена Мародеров', 'Драббл', 'Магические учебные заведения', 'ООС', 'Повседневность', 'Преканон', 'Романтика', 'Сборник драбблов', 'Школьники']",[],PG-13,Завершён,9,1,4,"4 страницы,
                                                3 части","... остался он один.

>сборник драбблов",,Нашла несколько коротеньких зарисовок в черновиках и решила объединить их в одну работу. Сборник периодически будет пополняться.,Уточнять у автора/переводчика,False
41,Растопи мой лёд одиночества,"['Майор Гром / Игорь Гром', 'Майор Гром: Чумной Доктор']",['TsIV'],['Олег Волков/Сергей Разумовский'],Слэш,"['Hurt/Comfort', 'Ангст', 'Драббл', 'Одиночество', 'Преканон']",[],PG-13,Завершён,10,2,1,"2 страницы,
                                                1 часть","Серёжа не понимает, почему мальчишка, которого он знает всего пару дней, да и то только по имени и фамилии, пришел к нему и пытается… утешить?
Серёжа не понимает, но чувствует, как фантомный холод одиночества медленно отпускает.

Лёд топится.
Не огнём.
Теплом человека, которому, кажется, не наплевать.",,"Воу, это что, ангст от меня? Эмм, честно, я не знаю, как так получилось, оно само. Изначально планировалось софтовое пвп или флаффный херт/комфорт, но Сероволки такие «Нет, сегодня мы хотим страдать», а Птица такой «Удели мне внимание, автор, я тут тоже вообще-то есть».",Разрешено только в виде ссылки,False
42,Пророчество. Записки сбежавшей Лили,['Ориджиналы'],['кИрПиЧ2007'],[],Смешанная,"['ER', 'Hurt/Comfort', 'Songfic', 'Алкоголь', 'Ангст', 'Вымышленные существа', 'Дарк', 'Драббл', 'Драма', 'Дружба', 'Жестокость', 'Курение', 'Мистика', 'Насилие', 'Нелинейное повествование', 'Нецензурная лексика', 'Повседневность', 'Романтика', 'Смерть второстепенных персонажей', 'Смерть основных персонажей', 'Современность', 'Стёб', 'Ужасы', 'Учебные заведения', 'Флафф', 'Фэнтези', 'Элементы гета', 'Элементы слэша', 'Элементы фемслэша', 'Юмор']","['Алкоголь', 'Жестокость', 'Курение', 'Насилие', 'Нецензурная лексика']",NC-21,В процессе,0,0,0,"планируется Макси, написано                                                3 страницы,
                                                2 части","Это типа книга. Пока черновой вариант, но буду очень рада любой критике",,,Уточнять у автора/переводчика,False
43,Lumity/сборник,['Совиный дом'],['Странные фикбукерши'],['Луз Носеда/Эмити Блайт'],Фемслэш,"['AU', 'Ведьмы / Колдуны', 'Драббл', 'Люди', 'Психология', 'Романтика', 'Сборник драбблов']",[],G,Завершён,280,16,32,"20 страниц,
                                                8 частей",Сборник небольших драбблов с разными сюжетными линиями ,,,Разрешено копирование текста с указанием автора/переводчика и ссылки на исходную публикацию,False
44,These stars are us,['Bangtan Boys (BTS)'],['disea_hope'],['Ким Тэхён/Чон Чонгук'],Слэш,"['Hurt/Comfort', 'Ангст', 'Драббл', 'Открытый финал', 'Повседневность', 'Смерть основных персонажей', 'Трагедия']",[],R,Завершён,0,0,0,"3 страницы,
                                                1 часть","- Ты знал, что, когда человек умирает, он становится звездой в космосе? – тихо спрашивает Тэхен.

- Нет.
",,Предупреждение: возможно вы будете плакать.,Разрешено только в виде ссылки,False
45,Маленький мир драблов,['Роулинг Джоан «Гарри Поттер»'],"['moy_vesna', 'Agata_Lisitsa']","['ОЖП/Джеймс Поттер', 'ОЖП/Римус Люпин', 'ОЖП/Сириус Блэк III', 'ОЖП/Северус Снейп', 'ОЖП/Драко Малфой', 'ОЖП/Блейз Забини', 'ОЖП/Седрик Диггори', 'ОЖП/Виктор Крам', 'ОЖП/Гарри Поттер', 'ОЖП/Рон Уизли', 'ОЖП/Джордж Уизли', 'ОЖП/Фред Уизли', 'ОЖП/Джордж Уизли/Фред Уизли', 'ОЖП/Чарли Уизли', 'ОЖП/Оливер Вуд', 'ОЖП/Джинни Уизли', 'ОЖП/Гермиона Грейнджер', 'ОЖП/Невилл Лонгботтом', 'ОЖП/Регулус Блэк', 'ОЖП/Бартемиус Крауч-мл.', 'ОЖП/Рабастан Лестрейндж', 'ОЖП/Том Марволо Реддл', 'ОЖП/Гидеон Пруэтт/Фабиан Пруэтт', 'ОЖП/Панси Паркинсон', 'ОЖП/Лили Поттер', 'Т/И', 'ОЖП/Луна Лавгуд']",Смешанная,"['AU', 'UST', 'Алкоголь', 'Борьба за отношения', 'Драббл', 'Дружба', 'Дружба втайне', 'Запретные отношения', 'Курение', 'Любовь/Ненависть', 'Намеки на отношения', 'Нецензурная лексика', 'Новые отношения', 'ОЖП', 'ООС', 'Обоснованный ООС', 'Обреченные отношения', 'Отклонения от канона', 'Отношения втайне', 'Отношения на спор', 'Платонические отношения', 'Повседневность', 'Равные отношения', 'Романтика', 'Семьи', 'Смерть второстепенных персонажей', 'Счастливый финал', 'Т/И / Л/И', 'Фиктивные отношения', 'Частичный ООС', 'Юмор']","['Алкоголь', 'Курение', 'Нецензурная лексика']",R,В процессе,913,1205,207,"планируется Мини, написано                                                384 страницы,
                                                177 частей","Интересные моменты из жизни Хогвартса. Драблы, которые понравятся каждому🤗",,,Уточнять у автора/переводчика,False
